timestamp panPosition tiltPosition panCtrlType panSetValue tiltCtrlType tiltSetValue local.lat local.lon local.elev object.lat object.lon object.elev object.x object.y object.z estObject.x estObject.y estObject.z estObject.lat estObject.lon estObject.elev 
1426593725.063 3123286 34421 2 75.6935 2 32.0708 47.6028696 8.5340351 420.891 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -127.156 116.867 108.214 47.6039206301417 8.53234422307682 529.107510609107 
1426593725.263 3122730 33879 2 75.115 2 31.5877 47.6028698 8.5340346 420.937 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -131.305 118.259 108.66 47.6039333409191 8.53228854396276 529.599285195718 
1426593725.463 3121697 33369 2 74.5625 2 31.1191 47.6028699 8.5340339 420.966 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -135.452 119.649 109.105 47.6039459438185 8.5322326994621 530.073782987672 
1426593725.663 3121040 32883 2 74.037 2 30.6669 47.6028696 8.534033 420.992 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -139.576 121.031 109.548 47.6039580766427 8.53217696390476 530.542787840174 
1426593725.863 3120488 32409 2 73.531 2 30.2255 47.6028693 8.5340326 420.92 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -143.723 122.422 109.994 47.60397027969 8.53212141852776 530.91629826778 
1426593726.064 3119509 31928 2 73.0487 2 29.7992 47.6028693 8.5340325 420.976 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -147.849 123.805 110.437 47.6039827210528 8.53206644500145 531.415615502954 
1426593726.264 3119111 31471 2 72.5882 2 29.3872 47.6028695 8.5340327 420.941 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -151.957 125.182 110.878 47.6039953061913 8.53201201934976 531.821932696128 
1426593726.464 3118689 31050 2 72.1378 2 28.9794 47.6028698 8.5340326 420.981 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -156.145 126.587 111.328 47.6040082336486 8.53195622474746 532.311888907541 
1426593726.664 3118104 30632 2 71.7136 2 28.591 47.6028698 8.5340332 420.947 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -160.253 127.964 111.769 47.6040206196035 8.53190219521777 532.719243125767 
1426593726.864 3117375 30208 2 71.3042 2 28.2121 47.6028703 8.5340349 420.924 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -164.38 129.347 112.212 47.6040335600578 8.53184902514475 533.139543371247 
1426593727.064 3117042 29789 2 70.9105 2 27.8441 47.6028703 8.5340346 420.924 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -168.506 130.731 112.655 47.6040460005424 8.53179385480644 533.582848798983 
1426593727.264 3116644 29401 2 70.5309 2 27.4859 47.6028698 8.5340332 420.905 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -172.64 132.117 113.099 47.6040579644345 8.53173748111521 534.007992180877 
1426593727.464 3116243 29043 2 70.1623 2 27.1348 47.602869 8.5340316 420.85 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -176.81 133.515 113.547 47.6040697372383 8.53168042694081 534.401020348263 
1426593727.664 3115854 28665 2 69.8124 2 26.7985 47.6028689 8.5340306 420.924 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -180.921 134.893 113.989 47.6040820307611 8.53162476327945 534.916664718948 
1426593727.864 3115485 28308 2 69.4732 2 26.47 47.602869 8.5340296 421.051 47.6037892 8.532905 525.008 -85.8195 103.009 103.775 -185.052 136.278 114.432 47.6040945866262 8.53156882447137 535.487535000312 
1426593728.064 3115125 27951 2 59.2932 2 26.3416 47.6028691 8.5340294 421.051 47.6037892 8.532905 525.008 -178.791 87.9887 98.6649 -178.791 87.9887 98.6649 47.6036604 8.5316519 519.719 
1426593728.264 3114705 27834 2 58.1479 2 26.3425 47.6028692 8.5340295 420.986 47.6037892 8.532905 525.008 -178.791 87.9887 98.6649 -180.499 84.3992 98.6629 47.603628217609 8.53162928352135 519.651991922731 
1426593728.464 3112135 27796 2 57.0093 2 26.3345 47.6028696 8.5340292 421.041 47.6037892 8.532905 525.008 -178.791 87.9887 98.6649 -182.198 80.8299 98.6609 47.6035965165879 8.53160639474107 519.704997585896 
1426593728.664 3108041 27813 2 55.871 2 26.3175 47.6028701 8.534029 421.054 47.6037892 8.532905 525.008 -178.791 87.9887 98.6649 -183.898 77.2581 98.6589 47.6035648932153 8.53158359023914 519.716004316185 
1426593728.864 3105035 27812 2 54.7405 2 26.2918 47.6028706 8.5340287 421.144 47.6037892 8.532905 525.008 -178.791 87.9887 98.6649 -185.589 73.7047 98.6569 47.6035334352994 8.53156080223095 519.804023750045 
1426593729.064 3104353 27751 2 53.8645 2 27.1091 47.6028709 8.534029 421.267 47.603509 8.5315953 519.93 -182.68 69.342 100.029 -182.68 69.342 100.029 47.6034945 8.5315998 521.299 
1426593729.265 3103882 28425 2 52.9465 2 27.1205 47.6028709 8.534029 421.267 47.603509 8.5315953 519.93 -182.68 69.342 100.029 -182.48 65.9488 99.3783 47.6034639837571 8.53160245533945 520.648268789616 
1426593729.465 3101337 28660 2 52.0103 2 27.1259 47.6028713 8.5340297 421.457 47.603509 8.5315953 519.93 -182.68 69.342 100.029 -182.279 62.5361 98.7239 47.6034336910574 8.5316058260821 520.183777125374 
1426593729.665 3098974 28648 2 51.0648 2 27.1252 47.602871 8.5340291 421.468 47.603509 8.5315953 519.93 -182.68 69.342 100.029 -182.079 59.136 98.0719 47.6034028131875 8.53160788679566 519.542735697435 
